Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,91192,70895,0.397303692922553
STATEN ISLAND,Staten Island,F,Female,105135,83963,0.4311815200246678
QUEENS,Queens,M,Male,495003,351551,0.4022152808520846
QUEENS,Queens,F,Female,562844,411464,0.4353552829434888
MANHATTAN,Manhattan,M,Male,411242,314348,0.4845787566245552
MANHATTAN,Manhattan,F,Female,476260,373484,0.5081071592677178
BROOKLYN,Brooklyn,M,Male,441312,313115,0.341055019409795
BROOKLYN,Brooklyn,F,Female,528260,387779,0.3635102874001578
THE BRONX,Bronx,M,Male,220097,163433,0.3341182359358427
THE BRONX,Bronx,F,Female,272594,208574,0.3579887549276402
%all%,%all%,M,Male,1658846,1213342,0.3903422204767492
%all%,%all%,F,Female,1945093,1465264,0.4157615809175138
