COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(At least 1 dose)-alias,SUM(PERC_at least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
15762847265830703697,Woodside,11377,38.9622089941218,46963,55.87633129724689,32747,38.9622089941218,"84,048",40.748095865715825,40.7481,-73.90488148995414,-73.9049
5491391460327512426,Woodhaven,11421,29.8405728070214,17433,43.52863406784394,11951,29.8405728070214,"40,049",40.6949328592646,40.6949,-73.85742352310456,-73.8574
606877357397903347,Williamsburg (South),11206,23.660496848494,29672,34.21984122092587,20516,23.660496848494,"86,710",40.701708728968114,40.7017,-73.94260909800067,-73.9426
14845648054386008612,Whitestone,11357,41.9349032313531,21108,54.5218316850879,16235,41.9349032313531,"38,715",40.79555736767808,40.7956,-73.81266253171098,-73.8127
7420745213283380475,Washington Heights (South),10032,35.1286404656042,27869,44.20064477565229,22149,35.1286404656042,"63,051",40.841967848266336,40.8420,-73.94449732823475,-73.9445
17247437443817389083,Washington Heights (North)/Washington Heights (South),10033,33.234325879297,24930,42.602413830258904,19448,33.234325879297,"58,518",40.85195450171841,40.8520,-73.93181845342768,-73.9318
17687815689908805664,Washington Heights (North),10040,34.3035288360837,19152,43.560614259957205,15082,34.3035288360837,"43,966",40.85993401153404,40.8599,-73.93066113529713,-73.9307
11478921791500012445,Wakefield/Woodlawn,10470,32.2243189724427,6109,40.74898873994053,4831,32.2243189724427,"14,992",40.89977591328477,40.8998,-73.8624646955597,-73.8625
6845210453292960452,Upper West Side,10024,52.771642367573,37595,64.36171597109191,30825,52.771642367573,"58,412",40.80030305465449,40.8003,-73.97207950814655,-73.9721
1764209357050534738,Upper East Side/Yorkville,10128,51.7223709372905,37117,63.38415352877084,30288,51.7223709372905,"58,559",40.78023625048825,40.7802,-73.94761260337108,-73.9476
10527034932136864564,Upper East Side/Yorkville,10028,49.5943755338598,28892,60.99181449471233,23493,49.5943755338598,"47,370",40.77543040588621,40.7754,-73.95233275230645,-73.9523
9083514175754710929,TriBeCa,10007,54.881319849339,5065,72.44563071068592,3837,54.881319849339,"6,991",40.713194568962514,40.7132,-74.00729622101159,-74.0073
