Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3092836924682137
Latino,Latino,STATEN ISLAND,Staten Island,0.2066043908932963
Black,Black,STATEN ISLAND,Staten Island,0.1876188984131958
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.4682376848975126
White,White,QUEENS,Queens,0.3293203454853627
Latino,Latino,QUEENS,Queens,0.2523293453712739
Black,Black,QUEENS,Queens,0.1958832199951277
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4634152500792572
White,White,MANHATTAN,Manhattan,0.4767124643384966
Latino,Latino,MANHATTAN,Manhattan,0.2915867921500982
Black,Black,MANHATTAN,Manhattan,0.2623861067512187
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5115780630747424
White,White,BROOKLYN,Brooklyn,0.2996128626491074
Latino,Latino,BROOKLYN,Brooklyn,0.214344637662582
Black,Black,BROOKLYN,Brooklyn,0.1903405878841901
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.4412890924151728
White,White,THE BRONX,Bronx,0.330597796377042
Latino,Latino,THE BRONX,Bronx,0.1916554616522706
Black,Black,THE BRONX,Bronx,0.1916537906653776
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3592678001332325
White,White,%all%,%all%,0.3588574245257974
Latino,Latino,%all%,%all%,0.2295272715269497
Black,Black,%all%,%all%,0.199698989182013
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.4609068108900312
